port,top_slack,tile_slack,slack_delta,driver_slack,receiver_slack,delay_split,available_time,driver_delay,receiver_delay,driver_efo,receiver_efo,efo_delta,route_ratio
p141,62.149948,48.764819,13.39,42.850201,5.914618,0.7102,192.422089,88.046143,35.922974,3.33,3.11,0.22,0.29
p142,54.489811,38.124881,16.36,32.860153,5.264728,0.7729,192.31839,98.076935,28.820862,3.47,1.53,1.94,0.32
p143,49.985287,35.267119,14.72,32.113697,3.153422,0.7617,193.526306,98.750854,30.897583,3.55,1.99,1.56,0.33
p144,40.551838,26.529695,14.02,21.917196,4.612499,0.7931,192.533539,109.498352,28.556763,3.1,1.75,1.35,0.38
p145,51.017738,33.981778,17.04,29.943697,4.038081,0.7722,193.992706,101.428375,29.919067,2.93,1.57,1.36,0.37
p146,56.284706,39.160462,17.12,36.462658,2.697804,0.7519,193.267578,95.152344,31.392029,3.13,1.86,1.27,0.32
p147,52.266708,39.950894,12.32,33.278984,6.67191,0.75,193.319,98.430908,32.803833,3.4,1.94,1.46,0.32
p148,58.293728,45.455986,12.84,37.288383,8.167603,0.7373,192.752045,94.627899,33.713257,3.19,1.95,1.24,0.31
p149,56.364391,42.357212,14.01,36.295227,6.061985,0.7745,194.191986,95.517517,27.806519,3.55,1.58,1.97,0.31
p150,51.993439,40.677744,11.32,35.012863,5.664881,0.743,193.905242,96.766022,33.478394,3.26,2.17,1.09,0.31
p151,55.690331,41.766451,13.92,37.814095,3.952356,0.7433,193.298156,93.468994,32.275024,3.34,1.84,1.5,0.3
p152,57.909519,43.614395,14.3,37.497849,6.116546,0.7715,192.661987,93.831207,27.791992,3.29,1.69,1.6,0.31
p153,42.831318,25.909554,16.92,22.12532,3.784234,0.7839,192.478516,108.98175,30.051514,3.22,1.5,1.72,0.37
p154,51.084946,36.970153,14.11,30.732597,6.237556,0.7746,192.417694,100.292572,29.192383,3.13,1.51,1.62,0.34
p155,61.521259,48.576336,12.94,44.275471,4.300865,0.7199,192.587708,86.908478,33.811768,3.27,2.18,1.09,0.27
p156,57.979824,43.148689,14.83,39.598518,3.550171,0.7503,191.891357,91.216797,30.36438,3.3,1.75,1.55,0.3
p157,56.125381,42.426777,13.7,36.721367,5.70541,0.7572,191.891723,93.99472,30.135376,3.52,1.97,1.55,0.3
p158,52.637096,33.769423,18.87,34.044819,-0.275396,0.7195,192.249237,97.00531,37.824829,3.59,2.38,1.21,0.3
p159,55.045551,40.565934,14.48,39.896709,0.669225,0.715,191.663635,90.815063,36.191223,3.36,2.23,1.13,0.3
p160,-14.807667,-1.70596,13.1,-18.590752,16.884792,0.4796,176.898651,86.645599,94.005859,2.48,3.78,1.3,0.36
p161,52.61475,42.342955,10.27,5.958758,36.384197,0.8692,173.165955,102.449768,15.414368,6.09,1.52,4.57,0.26
p162,69.958946,57.807,12.15,55.345852,2.461148,0.6735,197.202576,79.200378,38.390808,4.63,3.02,1.61,0.28
p163,73.633392,60.299965,13.33,58.081615,2.21835,0.6762,196.086639,76.457184,36.610962,4.72,2.63,2.09,0.26
p164,67.466133,54.025129,13.44,55.968273,-1.943144,0.6784,197.284393,78.598969,37.256165,4.77,2.01,2.76,0.28
p165,71.034882,56.413089,14.62,55.861603,0.551486,0.6857,196.887665,78.730316,36.092834,4.73,2.16,2.57,0.27
p166,69.211182,54.008246,15.2,53.263809,0.744437,0.693,197.353912,81.373047,36.046143,5.5,2.05,3.45,0.27
p167,71.542114,57.83412,13.71,57.558094,0.276026,0.6797,196.682464,77.060944,36.30957,4.53,4,0.53,0.29
p168,63.458588,48.0143,15.44,49.049862,-1.035562,0.6942,197.585968,86.101501,37.933716,4.02,3.23,0.79,0.23
p169,60.383259,48.29466,12.09,45.821396,2.473264,0.6963,197.588318,89.332306,38.964966,4.4,1.8,2.6,0.22
p170,61.954388,48.658728,13.3,48.525047,0.133681,0.6991,197.602784,86.643158,37.297791,4,2.05,1.95,0.24
p171,64.774803,51.195987,13.58,49.460155,1.735832,0.7018,197.719208,85.824402,36.469971,4.07,2.16,1.91,0.23
p172,70.13649,58.525785,11.61,57.198997,1.326788,0.6858,196.716247,78.035217,35.747009,4.72,1.96,2.76,0.27
p173,69.781723,54.835109,14.95,52.261929,2.57318,0.7078,198.236785,83.286407,34.389099,5.56,2.01,3.55,0.26
p174,73.387451,58.020151,15.37,57.738365,0.281786,0.6754,197.098938,77.453491,37.230652,4.65,2.01,2.64,0.26
p175,72.205482,62.169557,10.04,57.623718,4.545839,0.6861,197.970794,77.658539,35.528748,4.81,1.48,3.33,0.27
p176,65.669899,54.419895,11.25,48.667274,5.752621,0.735,198.014038,86.883698,31.325439,4.19,1.89,2.3,0.22
p177,66.204361,51.695301,14.51,49.291512,2.403789,0.7168,198.700348,86.945679,34.349854,3.96,2.23,1.73,0.23
p178,67.443085,54.256536,13.19,50.475594,3.780942,0.7142,198.599548,85.660858,34.280029,4.19,2.22,1.97,0.22
p179,77.689934,58.922855,18.77,53.494453,5.428402,0.6935,198.514313,82.603516,36.507812,5.41,2.4,3.01,0.24
p180,70.026115,58.71632,11.31,54.632423,4.083897,0.6574,198.241302,81.192383,42.320251,5.38,2.51,2.87,0.24
p181,73.722527,62.57852,11.14,54.58049,7.99803,0.6852,197.950561,80.953644,37.197021,5.55,2.83,2.72,0.25
p182,70.691597,59.316747,11.37,52.811771,6.504976,0.684,197.744812,82.516693,38.130432,5.79,3.46,2.33,0.24
p183,70.014038,58.684824,11.33,53.135437,5.549387,0.6839,196.575959,82.183868,37.993469,5.35,3.01,2.34,0.25
p184,70.821564,59.168963,11.65,54.024315,5.144648,0.677,196.515442,81.234558,38.760437,5.52,3.12,2.4,0.25
p185,65.003761,53.841617,11.16,47.842594,5.999023,0.699,196.470826,87.371582,37.624634,5.27,2.82,2.45,0.29
p186,63.363808,51.548404,11.82,46.649269,4.899135,0.7342,196.61322,88.516998,32.045288,4.14,1.9,2.24,0.23
p187,65.87822,55.761844,10.12,50.738995,5.022849,0.6771,196.361786,84.175903,40.141174,3.93,4.59,0.66,0.21
p188,67.70919,57.611325,10.1,50.986565,6.62476,0.6886,196.320679,83.887115,37.939941,3.93,3.02,0.91,0.21
p189,65.506233,55.331628,10.17,50.230717,5.100911,0.6787,193.903869,84.269348,39.897034,5.81,2.77,3.04,0.26
p190,69.332924,56.123226,13.21,49.297451,6.825775,0.7112,196.158264,84.834686,34.441833,5.66,2.01,3.65,0.24
p191,65.889267,53.935584,11.95,49.023102,4.912482,0.6814,196.305572,85.256226,39.855225,5.74,3.19,2.55,0.26
p192,64.931541,53.10033,11.83,46.96003,6.1403,0.6953,188.812683,84.786011,37.156677,5.14,2.84,2.3,0.25
p193,66.868889,56.480637,10.39,51.620346,4.860291,0.6687,194.232178,80.157318,39.715576,3.82,3.18,0.64,0.31
p194,56.920383,46.755656,10.16,39.819355,6.936301,0.7039,194.205597,91.93158,38.678711,4.62,4.08,0.54,0.22
p195,64.0187,53.910982,10.11,50.036827,3.874155,0.7027,190.626923,82.443115,34.879517,5.5,2.24,3.26,0.25
p196,61.081936,50.739586,10.34,48.826553,1.913033,0.6978,191.567993,84.087799,36.417664,5.63,1.92,3.71,0.26
p197,66.20752,55.101319,11.11,54.252903,0.848416,0.6646,195.690582,82.895844,41.832336,5.16,2.37,2.79,0.29
