Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input[47],set_input_delay,0.962,rise,clk_v0_setuphold,0.435,-0.899,
input[47],set_input_delay,0.955,fall,clk_v0_setuphold,0.509,-0.928,
input[46],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.144,-0.899,
input[46],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.237,-0.933,
input[46],set_input_delay,0.961,rise,clk_v0_setuphold,0.494,-0.899,
input[46],set_input_delay,0.953,fall,clk_v0_setuphold,0.567,-0.933,
input[45],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.131,-0.899,
input[45],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.232,-0.933,
input[45],set_input_delay,0.963,rise,clk_v0_setuphold,0.471,-0.899,
input[45],set_input_delay,0.954,fall,clk_v0_setuphold,0.554,-0.933,
input[44],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input[44],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.220,-0.932,
input[44],set_input_delay,0.963,rise,clk_v0_setuphold,0.490,-0.899,
input[44],set_input_delay,0.955,fall,clk_v0_setuphold,0.567,-0.932,
input[43],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.117,-0.899,
input[43],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.209,-0.930,
input[43],set_input_delay,0.964,rise,clk_v0_setuphold,0.451,-0.899,
input[43],set_input_delay,0.956,fall,clk_v0_setuphold,0.529,-0.930,
input[42],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.133,-0.899,
input[42],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.225,-0.933,
input[42],set_input_delay,0.962,rise,clk_v0_setuphold,0.484,-0.899,
input[42],set_input_delay,0.954,fall,clk_v0_setuphold,0.555,-0.933,
input[41],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.136,-0.899,
input[41],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.223,-0.930,
input[41],set_input_delay,0.963,rise,clk_v0_setuphold,0.483,-0.899,
input[41],set_input_delay,0.956,fall,clk_v0_setuphold,0.552,-0.930,
input[40],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input[40],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.207,-0.929,
input[40],set_input_delay,0.965,rise,clk_v0_setuphold,0.456,-0.899,
input[40],set_input_delay,0.957,fall,clk_v0_setuphold,0.530,-0.929,
input[39],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input[39],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.217,-0.929,
input[39],set_input_delay,0.963,rise,clk_v0_setuphold,0.472,-0.899,
input[39],set_input_delay,0.955,fall,clk_v0_setuphold,0.540,-0.929,
input[38],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input[38],set_input_delay,0.906,fall,_INN_superClk_v0_setuphold,0.240,-0.932,
input[38],set_input_delay,0.963,rise,clk_v0_setuphold,0.486,-0.899,
input[38],set_input_delay,0.956,fall,clk_v0_setuphold,0.571,-0.932,
input[37],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.115,-0.899,
input[37],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.205,-0.928,
input[37],set_input_delay,0.965,rise,clk_v0_setuphold,0.479,-0.899,
input[37],set_input_delay,0.957,fall,clk_v0_setuphold,0.555,-0.928,
input[36],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.132,-0.899,
input[36],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.225,-0.931,
input[36],set_input_delay,0.962,rise,clk_v0_setuphold,0.474,-0.899,
input[36],set_input_delay,0.954,fall,clk_v0_setuphold,0.550,-0.931,
input[35],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input[35],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.215,-0.931,
input[35],set_input_delay,0.962,rise,clk_v0_setuphold,0.453,-0.899,
input[35],set_input_delay,0.955,fall,clk_v0_setuphold,0.528,-0.931,
input[34],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input[34],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.209,-0.929,
input[34],set_input_delay,0.964,rise,clk_v0_setuphold,0.476,-0.899,
input[34],set_input_delay,0.956,fall,clk_v0_setuphold,0.551,-0.929,
input[33],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input[33],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.209,-0.929,
input[33],set_input_delay,0.963,rise,clk_v0_setuphold,0.447,-0.899,
input[33],set_input_delay,0.956,fall,clk_v0_setuphold,0.522,-0.929,
input[32],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.136,-0.899,
input[32],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.233,-0.930,
input[32],set_input_delay,0.963,rise,clk_v0_setuphold,0.486,-0.899,
input[32],set_input_delay,0.955,fall,clk_v0_setuphold,0.568,-0.930,
input[31],set_input_delay,0.896,rise,_INN_superClk_v0_setuphold,0.149,-0.899,
input[31],set_input_delay,0.905,fall,_INN_superClk_v0_setuphold,0.242,-0.931,
input[31],set_input_delay,0.961,rise,clk_v0_setuphold,0.449,-0.899,
input[31],set_input_delay,0.954,fall,clk_v0_setuphold,0.572,-0.931,
input[30],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.132,-0.899,
input[30],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.222,-0.930,
input[30],set_input_delay,0.963,rise,clk_v0_setuphold,0.462,-0.899,
input[30],set_input_delay,0.957,fall,clk_v0_setuphold,0.589,-0.930,
input[29],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.140,-0.899,
input[29],set_input_delay,0.903,fall,_INN_superClk_v0_setuphold,0.232,-0.933,
input[29],set_input_delay,0.962,rise,clk_v0_setuphold,0.484,-0.899,
input[29],set_input_delay,0.955,fall,clk_v0_setuphold,0.606,-0.933,
input[28],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input[28],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.220,-0.930,
input[28],set_input_delay,0.963,rise,clk_v0_setuphold,0.465,-0.899,
input[28],set_input_delay,0.957,fall,clk_v0_setuphold,0.602,-0.930,
input[27],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input[27],set_input_delay,0.902,fall,_INN_superClk_v0_setuphold,0.223,-0.930,
input[27],set_input_delay,0.963,rise,clk_v0_setuphold,0.458,-0.899,
input[27],set_input_delay,0.956,fall,clk_v0_setuphold,0.576,-0.930,
input[26],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.117,-0.899,
input[26],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.208,-0.929,
input[26],set_input_delay,0.962,rise,clk_v0_setuphold,0.438,-0.899,
input[26],set_input_delay,0.957,fall,clk_v0_setuphold,0.556,-0.929,
input[25],set_input_delay,0.895,rise,_INN_superClk_v0_setuphold,0.150,-0.897,
input[25],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.245,-0.937,
input[25],set_input_delay,0.961,rise,clk_v0_setuphold,0.473,-0.897,
input[25],set_input_delay,0.954,fall,clk_v0_setuphold,0.612,-0.937,
input[24],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.138,-0.899,
input[24],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.233,-0.934,
input[24],set_input_delay,0.961,rise,clk_v0_setuphold,0.468,-0.899,
input[24],set_input_delay,0.954,fall,clk_v0_setuphold,0.603,-0.934,
input[23],set_input_delay,0.895,rise,_INN_superClk_v0_setuphold,0.147,-0.899,
input[23],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.239,-0.932,
input[23],set_input_delay,0.961,rise,clk_v0_setuphold,0.461,-0.899,
input[23],set_input_delay,0.955,fall,clk_v0_setuphold,0.607,-0.932,
input[22],set_input_delay,0.893,rise,_INN_superClk_v0_setuphold,0.129,-0.899,
input[22],set_input_delay,0.904,fall,_INN_superClk_v0_setuphold,0.228,-0.930,
input[22],set_input_delay,0.962,rise,clk_v0_setuphold,0.447,-0.899,
input[22],set_input_delay,0.955,fall,clk_v0_setuphold,0.555,-0.930,
input[21],set_input_delay,0.891,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input[21],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.222,-0.932,
input[21],set_input_delay,0.961,rise,clk_v0_setuphold,0.438,-0.899,
input[21],set_input_delay,0.955,fall,clk_v0_setuphold,0.566,-0.932,
input[20],set_input_delay,0.892,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input[20],set_input_delay,0.901,fall,_INN_superClk_v0_setuphold,0.220,-0.934,
input[20],set_input_delay,0.962,rise,clk_v0_setuphold,0.446,-0.899,
input[20],set_input_delay,0.956,fall,clk_v0_setuphold,0.585,-0.934,
input[19],set_input_delay,0.894,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
