Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input0[49],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.217,-0.929,
input0[48],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.124,-0.899,
input0[48],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.220,-0.929,
input0[47],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[47],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.930,
input0[46],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input0[46],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.224,-0.930,
input0[45],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.130,-0.899,
input0[45],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.229,-0.932,
input0[44],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.141,-0.899,
input0[44],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.240,-0.932,
input0[43],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.133,-0.899,
input0[43],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.221,-0.932,
input0[42],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.137,-0.899,
input0[42],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.233,-0.935,
input0[41],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.136,-0.899,
input0[41],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.230,-0.930,
input0[40],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.114,-0.899,
input0[40],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.204,-0.929,
input0[39],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input0[39],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.231,-0.930,
input0[38],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.121,-0.899,
input0[38],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.217,-0.928,
input0[37],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.125,-0.899,
input0[37],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.929,
input0[36],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.140,-0.899,
input0[36],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.232,-0.932,
input0[35],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.126,-0.899,
input0[35],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.218,-0.931,
input0[34],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.130,-0.899,
input0[34],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.225,-0.934,
input0[33],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.898,
input0[33],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.227,-0.935,
input0[32],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input0[32],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.218,-0.929,
input0[31],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.129,-0.899,
input0[31],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.216,-0.928,
input0[30],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.121,-0.899,
input0[30],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.211,-0.929,
input0[29],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.134,-0.899,
input0[29],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.226,-0.930,
input0[28],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.117,-0.899,
input0[28],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.211,-0.930,
input0[27],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.114,-0.899,
input0[27],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.205,-0.928,
input0[26],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.898,
input0[26],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.231,-0.936,
input0[25],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.125,-0.899,
input0[25],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.215,-0.930,
input0[24],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input0[24],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.229,-0.930,
input0[23],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.127,-0.899,
input0[23],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.233,-0.929,
input0[22],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.132,-0.899,
input0[22],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.227,-0.933,
input0[21],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.145,-0.899,
input0[21],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.239,-0.933,
input0[20],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.141,-0.898,
input0[20],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.239,-0.935,
input0[19],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input0[19],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.231,-0.933,
input0[18],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.898,
input0[18],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.231,-0.935,
input0[17],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.135,-0.899,
input0[17],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.228,-0.933,
input0[16],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.121,-0.899,
input0[16],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.213,-0.932,
